#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Torrens_NODE_3549056_length_418_cov_1.388430_1   -             91 ORF10a.faa           -             96       6.6   16.0   3.3   1   1   2.9e-05       7.7   15.8   3.3    11    84     2    79     1    90 0.77 # 60 # 332 # -1 # ID=3549056_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.568
Torrens_NODE_1943482_length_547_cov_1.213415_1   -            113 ORF10a.faa           -             96       7.4   15.9   2.6   1   2     3e-05       8.1   15.7   0.5    31    64    23    56    20    87 0.84 # 208 # 546 # 1 # ID=1943482_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.723
Torrens_NODE_1943482_length_547_cov_1.213415_1   -            113 ORF10a.faa           -             96       7.4   15.9   2.6   2   2       2.2     6e+05    0.1   0.1    30    48    84   103    68   110 0.49 # 208 # 546 # 1 # ID=1943482_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.723
Torrens_NODE_5829382_length_346_cov_1.237113_1   -             58 ORF10a.faa           -             96       7.5   15.9   0.6   1   1   2.8e-05       7.5   15.9   0.6    18    51    13    48     3    58 0.75 # 3 # 176 # -1 # ID=5829382_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.437
Torrens_NODE_3198963_length_434_cov_0.923483_1   -            125 ORF10a.faa           -             96       7.5   15.9   1.3   1   1   4.3e-05        12   15.2   1.3    12    59    45    90    37   119 0.75 # 59 # 433 # 1 # ID=3198963_1;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.661
Torrens_NODE_7340291_length_276_cov_41.321267_1  -             91 ORF10a.faa           -             96       7.6   15.8   2.5   1   1   3.4e-05       9.2   15.6   2.2    25    78     8    61     2    72 0.89 # 2 # 274 # 1 # ID=7340291_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
Torrens_NODE_2852060_length_453_cov_1.072864_1   -             77 ORF10a.faa           -             96       8.2   15.7   0.4   1   1   3.6e-05       9.7   15.5   0.4    12    48    20    57     8    69 0.80 # 2 # 232 # -1 # ID=2852060_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
Torrens_NODE_911164_length_781_cov_1.571625_1    -            114 ORF10a.faa           -             96       8.5   15.7   5.6   1   1   3.9e-05        10   15.4   5.6     5    86    22   104    18   112 0.84 # 34 # 375 # -1 # ID=911164_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.611
Torrens_NODE_2414407_length_489_cov_1.647465_2   -             42 ORF10a.faa           -             96       8.7   15.7   0.1   1   1   3.6e-05       9.8   15.5   0.1    13    43     4    35     2    40 0.87 # 364 # 489 # 1 # ID=2414407_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.571
Torrens_NODE_6692342_length_321_cov_42.406015_1  -             68 ORF10a.faa           -             96       9.3   15.6   0.3   1   1   3.8e-05        10   15.4   0.3    23    70    20    67     8    68 0.80 # 117 # 320 # 1 # ID=6692342_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.637
Torrens_NODE_154343_length_1779_cov_1.836427_1   -            126 ORF10a.faa           -             96       9.5   15.5   0.4   1   1   4.6e-05        13   15.1   0.4    20    64    31    75    11   107 0.86 # 234 # 611 # -1 # ID=154343_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.632
Torrens_NODE_4361550_length_390_cov_1.023881_1   -            100 ORF10a.faa           -             96       9.6   15.5   6.8   1   1   5.6e-05        15   14.9   6.8     6    89     3    96     1    99 0.77 # 16 # 315 # 1 # ID=4361550_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.670
Torrens_NODE_6455791_length_328_cov_1.428571_1   -            109 ORF10a.faa           -             96       9.6   15.5   2.8   1   2   8.4e-05        23   14.3   1.1    14    47     5    39     1    48 0.84 # 1 # 327 # -1 # ID=6455791_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
Torrens_NODE_6455791_length_328_cov_1.428571_1   -            109 ORF10a.faa           -             96       9.6   15.5   2.8   2   2      0.96   2.6e+05    1.3   0.0    54    76    61    83    39   101 0.55 # 1 # 327 # -1 # ID=6455791_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
Torrens_NODE_2000111_length_539_cov_1.458678_2   -             88 ORF10a.faa           -             96       9.9   15.5   1.6   1   1   4.6e-05        12   15.2   1.6    11    88     4    83     2    85 0.89 # 157 # 420 # -1 # ID=2000111_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.629
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ../input_profiles/ORF10a.faa.msa.hmm
# Target file:     /home/dlueckin/bioinf/australian_salt_lakes/tal/4_Dom/torrens_metaspades.faa
# Option settings: hmmsearch --tblout ../01_hmm_results/torrens_ORF10a.txt --domtblout ../01_hmm_results/torrens_ORF10a_domtblout.txt --cpu 16 ../input_profiles/ORF10a.faa.msa.hmm /home/dlueckin/bioinf/australian_salt_lakes/tal/4_Dom/torrens_metaspades.faa 
# Current dir:     /home/dlueckin/projects/pR1SE_australian_lakes/search_ASL/scripts
# Date:            Thu May 11 12:17:19 2023
# [ok]
